time,parallelism,variable,value
1,1,storm,9146.5
2,1,storm,5729.0
3,1,storm,11408.0
4,1,storm,11341.25
5,1,storm,10601.5
6,1,storm,6653.75
7,1,storm,12922.0
8,1,storm,10883.25
9,1,storm,7851.0
10,1,storm,9274.25
11,1,storm,11587.75
12,1,storm,11687.25
13,1,storm,5580.75
14,1,storm,12074.0
15,1,storm,11226.5
16,1,storm,9648.0
17,1,storm,7455.25
18,1,storm,12177.25
19,1,storm,10288.0
20,1,storm,7532.75
21,1,storm,8941.25
22,1,storm,11531.75
23,1,storm,11786.25
24,1,storm,5758.5
25,1,storm,11878.75
26,1,storm,11074.25
27,1,storm,10113.5
28,1,storm,6779.75
29,1,storm,12689.75
30,1,storm,10863.25
31,1,storm,7813.0
32,1,storm,9451.0
33,1,storm,11705.0
34,1,storm,11729.75
35,1,storm,5656.25
36,1,storm,12245.5
37,1,storm,11386.0
38,1,storm,9169.75
39,1,storm,7855.25
40,1,storm,11805.25
41,1,storm,11589.25
42,1,storm,6748.5
43,1,storm,10782.75
44,1,storm,11791.75
45,1,storm,11050.0
46,1,storm,6109.75
47,1,storm,12681.0
48,1,storm,11053.5
49,1,storm,8404.75
50,1,storm,8827.75
51,1,storm,11476.0
52,1,storm,11739.5
53,1,storm,5732.25
54,1,storm,11798.75
55,1,storm,10086.25
56,1,storm,10954.75
57,1,storm,6085.0
58,1,storm,12634.0
59,1,storm,10532.75
60,1,storm,8770.75
61,1,storm,8307.75
62,1,storm,9994.25
63,1,storm,10886.25
64,1,storm,7606.5
65,1,storm,9205.25
66,1,storm,11344.0
67,1,storm,11453.75
68,1,storm,5553.75
69,1,storm,11658.25
70,1,storm,10927.5
71,1,storm,10395.0
72,1,storm,6263.25
73,1,storm,12584.5
74,1,storm,10768.0
1,1,storm-mc,7883.75
2,1,storm-mc,6568.0
3,1,storm-mc,12998.75
4,1,storm-mc,12427.5
5,1,storm-mc,9804.75
6,1,storm-mc,10129.5
7,1,storm-mc,13313.25
8,1,storm-mc,11436.5
9,1,storm-mc,6922.5
10,1,storm-mc,12819.0
11,1,storm-mc,11832.75
12,1,storm-mc,7387.5
13,1,storm-mc,12737.75
14,1,storm-mc,12502.75
15,1,storm-mc,9942.5
16,1,storm-mc,9641.25
17,1,storm-mc,12748.0
18,1,storm-mc,12154.25
19,1,storm-mc,7459.25
20,1,storm-mc,13136.75
21,1,storm-mc,12941.75
22,1,storm-mc,7086.5
23,1,storm-mc,13949.25
24,1,storm-mc,12471.5
25,1,storm-mc,8170.75
26,1,storm-mc,10627.25
27,1,storm-mc,13001.5
28,1,storm-mc,11144.0
29,1,storm-mc,9868.0
30,1,storm-mc,13404.0
31,1,storm-mc,12112.0
32,1,storm-mc,9066.0
33,1,storm-mc,13026.5
34,1,storm-mc,12715.25
35,1,storm-mc,6973.25
36,1,storm-mc,13863.0
37,1,storm-mc,12687.0
38,1,storm-mc,7464.0
39,1,storm-mc,13638.0
40,1,storm-mc,11114.75
41,1,storm-mc,9509.0
42,1,storm-mc,9817.5
43,1,storm-mc,11820.5
44,1,storm-mc,13002.0
45,1,storm-mc,7804.0
46,1,storm-mc,13639.0
47,1,storm-mc,12772.0
48,1,storm-mc,7002.0
49,1,storm-mc,13820.25
50,1,storm-mc,12343.25
51,1,storm-mc,8205.0
52,1,storm-mc,12652.5
53,1,storm-mc,10126.25
54,1,storm-mc,11305.25
55,1,storm-mc,8753.5
56,1,storm-mc,12898.0
57,1,storm-mc,13156.0
58,1,storm-mc,7194.0
59,1,storm-mc,13842.0
60,1,storm-mc,12318.5
61,1,storm-mc,7134.75
62,1,storm-mc,13278.75
63,1,storm-mc,12550.5
64,1,storm-mc,9285.5
65,1,storm-mc,10424.25
66,1,storm-mc,13102.75
67,1,storm-mc,11245.75
68,1,storm-mc,6155.5
69,1,storm-mc,13414.0
70,1,storm-mc,12412.25
71,1,storm-mc,7004.5
72,1,storm-mc,13101.0
73,1,storm-mc,12582.75
74,1,storm-mc,9414.25
1,2,storm,7246.75,
2,2,storm,6799.625,
3,2,storm,8054.5,
4,2,storm,10055.125,
